YearlyCon,YearlyTCost,Mildew_May,Mildew Incidence,Susceptibility to R6 Strains,Susceptibility to nonR6 Strains,Initial Strain,Pruning,degree_centrality_NonR6_MayJun,degree_centrality_NonR6_JunJul,Quadrant,Year
7,358.0744366,0,0.00125,4,4,2,1,0,0,SW,2017
2,100.3180533,0,0,2,0,0,1,0,0,SW,2017
1,93.96157486,0,0,1,1,0,1,0,0,SW,2017
5,232.3744842,0,0,0,0,0,1,0,0,SW,2017
1,93.96157486,0,0,1,1,0,1,0,0,SW,2017
5,232.3744842,0,0,3,3,0,1,0,0,SW,2017
9,420.3450792,0,0.06125,2,2,2,1,0,0,NW,2017
7,218.7532379,0,0.00375,3,3,2,1,0,0,NE,2017
13,662.0846256,0,0.0325,4,0,2,2,0,0,NE,2017
7,213.3182608,0,0,1,1,0,1,0,0,NW,2017
10,435.1107837,0,0.013125,3,3,2,3,0,0,NW,2017
7,253.2061029,0,0.00125,3,3,2,3,0,0,NW,2017
13,473.8702569,0,0.07125,4,0,2,1,0,0,NW,2017
7,213.3182608,0,0.00375,4,4,2,2,0,0,NW,2017
13,749.7820235,0,0.07,4,0,2,1,0,0,NW,2017
6,187.478612,0,0.025,3,3,2,5,0,0,NW,2017
6,183.6254582,0,0,3,3,0,5,0,0,NW,2017
13,614.3570699,0,0.00125,4,0,2,2,0,0,NW,2017
